epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,307.76,0.69001,1.11357,1.30101,0.57858,0.23436,0.24144,0.13943,1.93025,3.37845,2.82036,0.000482624,0.000482624,0.000482624
100,310.342,0.65414,1.03782,1.17718,0.55493,0.25589,0.21698,0.139,1.91545,3.57753,2.89496,0.000479702,0.000479702,0.000479702
101,313.169,0.69987,1.21817,1.1949,0.56998,0.28167,0.19112,0.12109,1.92613,3.5757,2.8691,0.00047678,0.00047678,0.00047678
102,316.81,0.85185,1.23744,1.31762,0.64691,0.24042,0.18816,0.12803,1.97441,3.43678,2.81736,0.000473858,0.000473858,0.000473858
103,320.958,0.92667,1.28209,1.36324,0.50029,0.28022,0.25786,0.17519,1.90373,3.19619,2.66843,0.000470936,0.000470936,0.000470936
104,323.708,0.62728,1.17779,1.17352,0.53134,0.30939,0.27111,0.17439,1.82133,3.15805,2.5318,0.000468013,0.000468013,0.000468013
105,326.217,0.61866,0.93279,1.10748,0.54199,0.28762,0.27606,0.19285,1.88626,3.13859,2.52196,0.000465091,0.000465091,0.000465091
106,328.92,0.7308,1.08828,1.17494,0.31528,0.24113,0.22016,0.13422,1.84124,3.14694,2.45115,0.000462169,0.000462169,0.000462169
107,331.668,0.63021,1.1737,1.13559,0.315,0.23216,0.22593,0.11793,1.84716,3.32977,2.38351,0.000459247,0.000459247,0.000459247
108,335.683,0.49918,1.82983,0.93467,0.55593,0.24267,0.29664,0.14834,1.89239,3.39964,2.53018,0.000456325,0.000456325,0.000456325
109,339.984,0.73295,1.12031,1.25068,0.62344,0.23127,0.29373,0.16766,1.87888,3.4033,2.59869,0.000453402,0.000453402,0.000453402
110,342.747,1.01776,0.98576,1.40071,0.55746,0.25257,0.29286,0.17709,1.84909,3.45746,2.61693,0.00045048,0.00045048,0.00045048
111,345.242,0.80202,1.21022,1.26553,0.55945,0.27606,0.32759,0.18864,1.85972,3.42461,2.70383,0.000447558,0.000447558,0.000447558
112,347.92,0.89931,1.51126,1.31071,0.67155,0.22767,0.32109,0.18976,1.89804,3.37135,2.74915,0.000444636,0.000444636,0.000444636
113,350.738,0.69433,1.09367,1.25961,0.68905,0.25257,0.30943,0.1711,1.92417,3.27678,2.73527,0.000441714,0.000441714,0.000441714
114,354.615,0.69621,0.99773,1.18393,0.70006,0.27352,0.36842,0.20036,1.80999,3.17351,2.49061,0.000438791,0.000438791,0.000438791
115,358.778,0.70027,0.84449,1.16076,0.52949,0.29029,0.3093,0.17881,1.80614,3.21044,2.4595,0.000435869,0.000435869,0.000435869
116,361.646,0.7783,1.17141,1.29793,0.52549,0.26923,0.36736,0.16866,1.74835,3.23259,2.40023,0.000432947,0.000432947,0.000432947
117,364.175,0.71438,0.89231,1.16164,0.48046,0.26997,0.33398,0.14404,1.75154,3.23712,2.4104,0.000430025,0.000430025,0.000430025
118,366.85,0.65405,1.15331,1.21652,0.4864,0.26923,0.21418,0.13912,1.78284,3.27385,2.56172,0.000427103,0.000427103,0.000427103
119,369.877,0.69024,1.43346,1.20473,0.35656,0.25061,0.20608,0.1323,1.7883,3.2363,2.62462,0.00042418,0.00042418,0.00042418
120,374.408,0.65848,1.21554,1.20077,0.40902,0.18681,0.22695,0.15683,1.75407,3.22323,2.52434,0.000421258,0.000421258,0.000421258
121,378.519,0.71529,0.9936,1.21338,0.42606,0.18681,0.22553,0.1554,1.76434,3.27162,2.41087,0.000418336,0.000418336,0.000418336
122,381.503,0.63061,0.9442,1.12342,0.49323,0.24618,0.27548,0.16565,1.80167,3.33513,2.36667,0.000415414,0.000415414,0.000415414
123,384.052,0.61977,1.05026,1.22779,0.53922,0.16459,0.29624,0.16857,1.84323,3.41174,2.38083,0.000412492,0.000412492,0.000412492
124,386.601,0.51592,1.39382,0.96755,0.67613,0.16735,0.30606,0.19059,1.73014,3.43815,2.33291,0.000409569,0.000409569,0.000409569
125,389.181,0.56029,1.20914,0.98824,0.67344,0.16964,0.31035,0.1843,1.67074,3.38428,2.28756,0.000406647,0.000406647,0.000406647
126,392.805,0.62884,1.21051,1.10762,0.59235,0.17582,0.33193,0.18262,1.62844,3.37683,2.23289,0.000403725,0.000403725,0.000403725
127,397.014,0.55375,0.94717,1.09517,0.59708,0.23275,0.27077,0.15914,1.66083,3.52423,2.28977,0.000400803,0.000400803,0.000400803
128,400.102,0.78437,1.07372,1.28859,0.53208,0.16484,0.2593,0.16053,1.78862,3.73739,2.56653,0.000397881,0.000397881,0.000397881
129,402.585,0.58124,0.79199,1.13348,0.51262,0.16484,0.2484,0.14412,1.81149,3.78191,2.60635,0.000394958,0.000394958,0.000394958
130,405.378,0.68054,1.07296,1.19697,0.33028,0.23443,0.21775,0.13767,1.89929,3.67022,2.73745,0.000392036,0.000392036,0.000392036
131,408.065,0.54759,0.94093,1.23541,0.62814,0.1044,0.25188,0.15337,1.89906,3.44014,2.70522,0.000389114,0.000389114,0.000389114
132,411.735,0.75845,0.88255,1.22419,0.67147,0.1044,0.28265,0.17324,1.88116,3.36141,2.70176,0.000386192,0.000386192,0.000386192
133,415.637,0.6782,1.21004,1.2012,0.52296,0.1044,0.25816,0.15192,1.82014,3.39479,2.63067,0.00038327,0.00038327,0.00038327
134,418.741,0.65345,1.18332,1.21712,0.18057,0.22161,0.27915,0.16523,1.7326,3.44387,2.5879,0.000380347,0.000380347,0.000380347
135,421.314,0.73127,1.0841,1.31464,0.32185,0.21974,0.25243,0.15591,1.74434,3.49251,2.54332,0.000377425,0.000377425,0.000377425
136,423.929,0.65527,0.91394,1.17784,0.64122,0.12593,0.23253,0.13647,1.73117,3.48309,2.56179,0.000374503,0.000374503,0.000374503
137,426.462,0.71532,1.08551,1.26483,0.65855,0.11722,0.21721,0.13123,1.68933,3.48989,2.54991,0.000371581,0.000371581,0.000371581
138,430.117,0.52043,0.96992,1.14646,0.77741,0.11722,0.19395,0.12523,1.62693,3.57238,2.55256,0.000368659,0.000368659,0.000368659
139,434.161,0.65585,0.82946,1.24938,0.7429,0.11722,0.19879,0.13718,1.70876,3.54046,2.63003,0.000365736,0.000365736,0.000365736
140,436.928,0.55935,0.77956,1.10087,0.4879,0.13919,0.18092,0.10714,1.67571,3.69804,2.63235,0.000362814,0.000362814,0.000362814
141,440.811,0.67061,0.96761,1.19859,0.47745,0.21449,0.19056,0.11083,1.73743,3.66634,2.72478,0.000359892,0.000359892,0.000359892
142,443.348,0.81567,1.02468,1.372,0.63695,0.1044,0.18298,0.10996,1.90215,3.61415,2.71837,0.00035697,0.00035697,0.00035697
143,446.512,0.59369,1.13379,1.08536,0.51776,0.1044,0.14867,0.0812,1.85497,3.69855,2.54726,0.000354048,0.000354048,0.000354048
144,450.185,0.81272,1.08248,1.30809,0.48674,0.1044,0.1153,0.05693,1.91511,3.68265,2.54229,0.000351125,0.000351125,0.000351125
145,453.614,0.64247,0.97591,1.20389,0.50075,0.1044,0.11598,0.06255,1.86555,3.66246,2.48163,0.000348203,0.000348203,0.000348203
146,456.255,0.65804,0.97185,1.13889,0.51386,0.1044,0.13546,0.07429,1.85312,3.6197,2.51471,0.000345281,0.000345281,0.000345281
